Lab_ID_String,Sample_ID,lake,Collection_Date,Anatoxin A,Cylindrospermopsin,Microcystin LA,Microcystin LF,Microcystin LR,Microcystin LW,Microcystin RR,Saxitoxin,Batch,Analysis Date,%Imidazolidine
07-1885,LRB,LRB,2007-08-21,,,,,,,,,W07171,2008-03-06 0:00,141.449908
07-1901,LRB,LRB,2007-09-24,,,,,,,,,W07129,2008-03-06 0:00,147.35383
08-1099,LRB,LRB,2008-06-03,,,,,,,,,W08100,2008-06-06 0:00,
08-1123,LRB,LRB,2008-06-18,,,,,,,,,W08102,2009-01-09 0:00,99.196
08-1277,LRB,LRB,2008-07-08,,,,,,,,,W08123,2009-01-09 0:00,84.646
08-1282,LRB,LRB,2008-07-09,,,,,,,,,W08124,2008-08-20 0:00,194.87
08-1386,LRB,LRB,2008-07-29,,,,,,,,,W08143,2009-01-09 0:00,93.162
08-1513,LRB,LRB,2008-08-20,,,,,,,,,W08156,2009-01-09 0:00,95.064
08-1636,LRB,LRB,2008-09-10,,,,,,,,,W08175,2009-01-09 0:00,99.258
08-2792,LRB,LRB,2008-10-01,,,,,,,,,W08224,2009-01-09 0:00,132.964
08-1116,PAWNEE EAST BEACH 06-09,PAWNEE EAST,2008-06-09,,,,,,,,,W08102,2009-01-09 0:00,51.738
08-1117,PAWNEE EAST BEACH 06-16,PAWNEE EAST,2008-06-16,,,,,,,,,W08102,2009-01-09 0:00,79.304
08-1149,PAWNEE EAST BEACH 06-23,PAWNEE EAST,2008-06-23,,,,,0.1,,,,W08102,2009-01-09 0:00,84.57
08-1192,PAWNEE EAST BEACH 07-01,PAWNEE EAST,2008-07-01,,,,,,,,,W08102,2009-01-09 0:00,50.478
08-1272,PAWNEE EAST BEACH 07-07,PAWNEE EAST,2008-07-07,,,,,,,,,W08123,2009-01-09 0:00,68.852
08-1325,PAWNEE EAST BEACH 07-14,PAWNEE EAST,2008-07-14,,,,,,,,,W08123,2009-01-09 0:00,31.036
08-1351,PAWNEE EAST BEACH 07-21,PAWNEE EAST,2008-07-21,,,,,,,,,W08123,2009-01-09 0:00,77.456
08-1381,PAWNEE EAST BEACH 07-28,PAWNEE EAST,2008-07-28,,,,,,,,,W08143,2009-01-09 0:00,77.214
08-1434,PAWNEE EAST BEACH 08-04,PAWNEE EAST,2008-08-04,,,,,,,,,W08143,2009-01-09 0:00,52.836
08-1487,PAWNEE EAST BEACH 08-11,PAWNEE EAST,2008-08-11,,,,,,,,,W08143,2009-01-09 0:00,76.724
08-1508,PAWNEE EAST BEACH 08-18,PAWNEE EAST,2008-08-18,,,,,,,,,W08156,2009-01-09 0:00,99.716
08-1597,PAWNEE EAST BEACH 08-25,PAWNEE EAST,2008-08-25,,,,,,,,,W08156,2009-01-09 0:00,62.736
08-1602,PAWNEE EAST BEACH 09-02,PAWNEE EAST,2008-09-02,,,,,,,,,W08156,2009-01-09 0:00,65.326
08-1630,PAWNEE EAST BEACH 09-10,PAWNEE EAST,2008-09-10,,,,,,,,,W08175,2009-01-09 0:00,96.35
08-2553,PAWNEE EAST BEACH 09-15,PAWNEE EAST,2008-09-15,,,,,,,,,W08175,2009-01-09 0:00,33.582
08-2561,PAWNEE EAST BEACH 09-22,PAWNEE EAST,2008-09-22,,,,,,,,,W08175,2009-01-09 0:00,78.13
08-2787,PAWNEE EAST BEACH 09-29,PAWNEE EAST,2008-09-29,,,,,,,,,W08224,2009-01-09 0:00,44.314
07-1208,PAWNEE RE. WEST,PAWNEE WEST,2007-08-13,,,,,10,,33.1,,W07134,2008-03-06 0:00,85.53542
07-1880,PAWNEE RES EAST,PAWNEE EAST,2007-08-21,,,,,14.8,,98.4,,W07171,2008-03-06 0:00,74.499606
07-1881,PAWNEE RES WEST,PAWNEE WEST,2007-08-21,,,,,12.2,,78,,W07171,2008-03-06 0:00,86.759474
07-1207,PAWNEE RES. EAST,PAWNEE EAST,2007-08-13,,,,,14.8,,66.5,,W07134,2008-03-06 0:00,93.634552
07-1073,PAWNEE RES. EAST BEACH,PAWNEE EAST,2007-07-30,0.1,,,,5.1,,4.6,,W07134,2008-03-06 0:00,89.605868
07-1072,PAWNEE RES. WEST BEACH,PAWNEE WEST,2007-07-30,0.2,,,,8,,8,,W07134,2008-03-06 0:00,86.392038
07-1111,PAWNEE RESERVOIR - EAST BEACH LFM,PAWNEE EAST,2007-08-07,42.8,29.4,83.3,11.3,173.1,41,255.5,170,W07134,2008-03-06 0:00,71.158794
07-1108,PAWNEE RESERVOIR - EASY BEACH,PAWNEE EAST,2007-08-06,,,,,6.9,,12.3,,W07134,2008-03-06 0:00,44.217682
07-1107,PAWNEE RESERVOIR - WEST BEACH,PAWNEE WEST,2007-08-06,0.2,,,,5.7,,14.3,,W07134,2008-03-06 0:00,77.365864
07-935,PAWNEE RESERVOIR EAST,PAWNEE EAST,2007-07-23,,,,,11.2,,15.4,1,W07134,2008-03-06 0:00,85.843114
07-1416,PAWNEE RESERVOIR EAST BEACH,PAWNEE EAST,2007-08-27,,,,,6.6,,37.6,,W07134,2008-03-06 0:00,90.56952
07-1548,PAWNEE RESERVOIR EAST BEACH,PAWNEE EAST,2007-09-09,0.3,,,,1.4,,12.1,,W07171,2008-03-06 0:00,87.557966
07-934,PAWNEE RESERVOIR WEST,PAWNEE WEST,2007-07-23,0.5,,0.9,,3.9,,4,1.7,W07134,2008-03-06 0:00,77.019484
07-1417,PAWNEE RESERVOIR WEST BEACH,PAWNEE WEST,2007-08-27,,,,,4.3,,32.7,,W07134,2008-03-06 0:00,76.628854
07-1549,PAWNEE RESERVOIR WEST BEACH,PAWNEE WEST,2007-09-09,,,,,1.8,,19.1,,W07171,2008-03-06 0:00,69.749844
07-1462,PAWNEE RESERVOIR-EAST BEACH,PAWNEE EAST,2007-09-04,,,,,4.7,,20,,W07171,2008-03-06 0:00,89.956626
07-1463,PAWNEE RESERVOIR-WEST BEACH,PAWNEE WEST,2007-09-04,,,,,3.7,,18.4,,W07171,2008-03-06 0:00,81.602916
08-1114,PAWNEE WEST BEACH 06-09,PAWNEE WEST,2008-06-09,,,,,,,,,W08102,2009-01-09 0:00,96.514
08-1115,PAWNEE WEST BEACH 06-16,PAWNEE WEST,2008-06-16,,,,,0.1,,,,W08102,2009-01-09 0:00,89.74
08-1148,PAWNEE WEST BEACH 06-23,PAWNEE WEST,2008-06-23,,,,,,,0.1,,W08102,2009-01-09 0:00,83.74
08-1191,PAWNEE WEST BEACH 07-01,PAWNEE WEST,2008-07-01,,,,,,,,,W08102,2009-01-09 0:00,54.584
08-1271,PAWNEE WEST BEACH 07-07,PAWNEE WEST,2008-07-07,,,,,,,,,W08123,2009-01-09 0:00,21.406
08-1324,PAWNEE WEST BEACH 07-14,PAWNEE WEST,2008-07-14,,,,,,,,,W08123,2009-01-09 0:00,61.094
08-1350,PAWNEE WEST BEACH 07-21,PAWNEE WEST,2008-07-21,,,,,,,,,W08123,2009-01-09 0:00,38.724
08-1380,PAWNEE WEST BEACH 07-28,PAWNEE WEST,2008-07-28,,,,,,,,,W08143,2009-01-09 0:00,75.478
08-1433,PAWNEE WEST BEACH 08-04,PAWNEE WEST,2008-08-04,,,,,0.2,,,,W08143,2009-01-09 0:00,112.062
08-1486,PAWNEE WEST BEACH 08-11,PAWNEE WEST,2008-08-11,,,,,,,,,W08143,2009-01-09 0:00,33.624
08-1507,PAWNEE WEST BEACH 08-18,PAWNEE WEST,2008-08-18,,,,,,,,,W08156,2009-01-09 0:00,31.276
